TAG	Genome_list	1121259.3	1214564.3	1387555.3	1387557.3	31899.1	351627.8	608506.3	632292.3	632335.8	632348.3	632516.3	632518.3
TAG0001	1121259.3;351627.8;632335.8	1022	-	-	-	-	2936_2715	-	-	2594_2394	-	-	-
TAG0002	1121259.3	1029	-	-	-	-	-	-	-	-	-	-	-
TAG0003	1121259.3	1031	-	-	-	-	-	-	-	-	-	-	-
TAG0004	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1033	586	1289	1267	1511_1309	2270_2091	1606_1495	1799_1706	1139_1019	1754_1664	1220_1165	916_0846
TAG0005	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1062	555	1318	1296	1540_1338	2240_2062	1575_1466	1770_1677	1168_1048	1725_1635	1191_1136	948_0876
TAG0006	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1066	1207	1944	1300	1544_1342	1671_1513	1571_1462	1766_1673	1172_1052	1721_1631	1187_1132	952_0880
TAG0007	1121259.3	1067	-	-	-	-	-	-	-	-	-	-	-
TAG0008	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1069	1205	1942	1302	1546_1344	1673_1515	1569_1460	1764_1671	1174_1054	1718_1629	1185_1130	954_0883
TAG0009	1121259.3	1105	-	-	-	-	-	-	-	-	-	-	-
TAG0010	1121259.3	1107	-	-	-	-	-	-	-	-	-	-	-
TAG0011	1121259.3;632292.3	1108	-	-	-	-	-	-	1721_1628	-	-	-	-
TAG0012	1121259.3;632292.3	1109	-	-	-	-	-	-	1720_1627	-	-	-	-
TAG0013	1121259.3;632292.3	1110	-	-	-	-	-	-	1719_1626	-	-	-	-
TAG0014	1121259.3;632292.3	1111	-	-	-	-	-	-	1718_1625	-	-	-	-
TAG0015	1121259.3;351627.8;632292.3;632518.3	1112	-	-	-	-	1719_1560	-	1717_1624	-	-	-	1000_0925
TAG0016	1121259.3	1114	-	-	-	-	-	-	-	-	-	-	-
TAG0017	1121259.3	1159	-	-	-	-	-	-	-	-	-	-	-
TAG0018	1121259.3;632292.3	1160	-	-	-	-	-	-	317_0287	-	-	-	-
TAG0019	1121259.3	1169	-	-	-	-	-	-	-	-	-	-	-
TAG0020	1121259.3	1175	-	-	-	-	-	-	-	-	-	-	-
TAG0021	1121259.3	1177	-	-	-	-	-	-	-	-	-	-	-
TAG0022	1121259.3;1214564.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632518.3	1178	2484	-	2738	2878_2626	2683_2487	2216_2073	492_0449	2521_2329	351_0326	-	2143_2004
TAG0023	1121259.3;608506.3	1179	-	-	-	-	-	2212	-	-	-	-	-
TAG0024	1121259.3	1181	-	-	-	-	-	-	-	-	-	-	-
TAG0025	1121259.3	1182	-	-	-	-	-	-	-	-	-	-	-
TAG0026	1121259.3	1185	-	-	-	-	-	-	-	-	-	-	-
TAG0027	1121259.3	1190	-	-	-	-	-	-	-	-	-	-	-
TAG0028	1121259.3	1191	-	-	-	-	-	-	-	-	-	-	-
TAG0029	1121259.3	1192	-	-	-	-	-	-	-	-	-	-	-
TAG0030	1121259.3	1193	-	-	-	-	-	-	-	-	-	-	-
