fig|31899.10.peg.69|SAMN05216182_0003	WP_015908852.1	100.000	67	0	0	1	67	17	83	2.43e-44	137
fig|31899.10.peg.70|SAMN05216182_0004	WP_015908853.1	100.000	174	0	0	1	174	1	174	2.93e-127	355
fig|31899.10.peg.71|SAMN05216182_0005	WP_015908854.1	100.000	117	0	0	1	117	1	117	5.44e-79	228
fig|31899.10.peg.72|SAMN05216182_0006	WP_015908855.1	100.000	64	0	0	1	64	1	64	1.31e-41	129
fig|31899.10.peg.73|SAMN05216182_0007	WP_015908856.1	100.000	145	0	0	1	145	1	145	2.48e-100	285
fig|31899.10.peg.73|SAMN05216182_0007	WP_015908978.1	30.435	69	48	0	4	72	2	70	2.21e-08	45.8
fig|31899.10.peg.74|SAMN05216182_0008	WP_015908857.1	100.000	144	0	0	1	144	1	144	5.62e-106	299
fig|31899.10.peg.75|SAMN05216182_0009	WP_015908858.1	100.000	373	0	0	1	373	1	373	0.0	769
fig|31899.10.peg.75|SAMN05216182_0009	WP_015908387.1	34.530	362	221	8	23	372	31	388	9.39e-51	174
fig|31899.10.peg.75|SAMN05216182_0009	WP_015907300.1	32.808	317	204	4	62	372	12	325	2.81e-50	171
fig|31899.10.peg.75|SAMN05216182_0009	WP_015907544.1	30.748	361	238	5	22	372	34	392	5.48e-48	166
fig|31899.10.peg.75|SAMN05216182_0009	WP_013429933.1	27.148	291	158	14	76	347	14	269	2.75e-15	72.0
fig|31899.10.peg.76|SAMN05216182_0010	WP_015908859.1	100.000	337	0	0	1	337	1	337	0.0	685
fig|31899.10.peg.77|SAMN05216182_0011	WP_015908860.1	100.000	449	0	0	1	449	1	449	0.0	936
fig|31899.10.peg.77|SAMN05216182_0011	WP_015908225.1	31.127	408	231	13	28	433	23	382	8.01e-43	154
fig|31899.10.peg.77|SAMN05216182_0011	WP_015907695.1	24.702	336	203	13	13	339	21	315	1.41e-23	98.6
fig|31899.10.peg.78|SAMN05216182_0012	WP_015908861.1	100.000	243	0	0	1	243	1	243	1.32e-180	496
fig|31899.10.peg.79|SAMN05216182_0013	WP_015908862.1	100.000	192	0	0	1	192	1	192	6.03e-134	374
fig|31899.10.peg.79|SAMN05216182_0013	WP_015909021.1	36.782	174	102	4	2	173	9	176	2.33e-20	82.0
fig|31899.10.peg.80|SAMN05216182_0014	WP_015908863.1	97.826	46	1	0	17	62	1	46	2.75e-26	89.7
fig|31899.10.peg.80|SAMN05216182_0014	WP_049760261.1	53.191	47	21	1	17	62	1	47	1.02e-09	47.0
fig|31899.10.peg.81|SAMN05216182_0015	WP_013433368.1	100.000	93	0	0	1	93	1	93	1.67e-61	182
fig|31899.10.peg.82|SAMN05216182_0016	WP_015908864.1	100.000	86	0	0	1	86	1	86	2.18e-58	174
fig|31899.10.peg.85|SAMN05216182_0017	WP_015908865.1	100.000	40	0	0	1	40	51	90	2.09e-24	85.1
fig|31899.10.peg.86|SAMN05216182_0018	WP_015908866.1	100.000	757	0	0	1	757	1	757	0.0	1532
fig|31899.10.peg.87|SAMN05216182_0019	WP_015908867.1	100.000	502	0	0	1	502	1	502	0.0	1005
fig|31899.10.peg.87|SAMN05216182_0019	WP_015907395.1	34.774	532	279	15	2	496	1	501	1.22e-85	273
fig|31899.10.peg.87|SAMN05216182_0019	WP_015908411.1	45.161	124	67	1	2	125	1	123	9.28e-28	112
fig|31899.10.peg.87|SAMN05216182_0019	WP_015908411.1	35.398	113	72	1	389	501	407	518	2.34e-16	77.8
fig|31899.10.peg.87|SAMN05216182_0019	WP_015907179.1	38.636	132	80	1	2	133	1	131	1.04e-27	112
fig|31899.10.peg.87|SAMN05216182_0019	WP_015907179.1	21.300	277	202	5	234	497	262	535	8.05e-19	85.5
fig|31899.10.peg.87|SAMN05216182_0019	WP_015908696.1	43.200	125	70	1	1	125	1	124	8.97e-26	103
fig|31899.10.peg.87|SAMN05216182_0019	WP_015908696.1	35.714	98	62	1	398	495	152	248	1.24e-13	67.0
fig|31899.10.peg.87|SAMN05216182_0019	WP_015906739.1	39.344	122	70	1	379	496	389	510	1.02e-22	97.8
fig|31899.10.peg.87|SAMN05216182_0019	WP_015908268.1	37.398	123	74	2	4	126	2	121	5.24e-19	87.0
fig|31899.10.peg.87|SAMN05216182_0019	WP_015908953.1	36.735	98	62	0	401	498	204	301	1.51e-17	79.7
fig|31899.10.peg.87|SAMN05216182_0019	WP_015908654.1	33.333	108	71	1	391	497	661	768	7.31e-17	79.7
fig|31899.10.peg.87|SAMN05216182_0019	WP_015908166.1	34.188	117	74	2	2	118	1	114	1.14e-16	73.9
fig|31899.10.peg.87|SAMN05216182_0019	WP_013291202.1	33.058	121	78	2	1	121	1	118	2.44e-16	73.2
fig|31899.10.peg.87|SAMN05216182_0019	WP_015907464.1	39.785	93	56	0	405	497	185	277	7.25e-16	74.3
fig|31899.10.peg.87|SAMN05216182_0019	WP_015908481.1	31.683	101	69	0	398	498	176	276	2.56e-14	69.7
fig|31899.10.peg.87|SAMN05216182_0019	WP_015908057.1	37.895	95	58	1	404	497	176	270	7.47e-14	68.2
fig|31899.10.peg.87|SAMN05216182_0019	WP_015908938.1	31.356	118	78	2	4	121	5	119	2.46e-13	65.9
fig|31899.10.peg.87|SAMN05216182_0019	WP_015908414.1	36.559	93	59	0	405	497	190	282	1.52e-12	64.3
fig|31899.10.peg.87|SAMN05216182_0019	WP_015907162.1	32.407	108	71	2	6	113	7	112	3.02e-11	58.5
fig|31899.10.peg.87|SAMN05216182_0019	WP_015908239.1	26.984	126	87	2	370	494	663	784	2.50e-10	58.9
fig|31899.10.peg.87|SAMN05216182_0019	WP_015907159.1	32.479	117	69	4	2	115	1	110	9.97e-10	53.9
fig|31899.10.peg.87|SAMN05216182_0019	WP_015907353.1	34.862	109	65	5	2	108	11	115	1.35e-09	55.8
fig|31899.10.peg.88|SAMN05216182_0020	WP_041727239.1	100.000	596	0	0	5	600	1	596	0.0	1196
fig|31899.10.peg.88|SAMN05216182_0020	WP_015907394.1	39.374	607	336	12	1	586	7	602	1.78e-120	370
fig|31899.10.peg.88|SAMN05216182_0020	WP_015908412.1	29.134	635	337	23	12	588	5	584	9.16e-60	208
fig|31899.10.peg.88|SAMN05216182_0020	WP_015907178.1	35.220	318	182	9	266	571	279	584	6.14e-41	153
fig|31899.10.peg.88|SAMN05216182_0020	WP_015906740.1	32.759	348	215	10	258	591	142	484	1.26e-37	142
fig|31899.10.peg.88|SAMN05216182_0020	WP_015908695.1	34.783	207	121	6	394	592	378	578	1.02e-21	95.5
fig|31899.10.peg.89|SAMN05216182_0021	WP_015908869.1	100.000	300	0	0	1	300	1	300	0.0	605
fig|31899.10.peg.89|SAMN05216182_0021	WP_013430735.1	58.305	295	122	1	6	299	3	297	9.55e-132	377
