Rep_gene	1121259.3	1214564.3	1387555.3	1387557.3	1387569.3	31899.10	351627.8	608506.3	632292.3	632335.8	632348.3	632516.3	632518.3
fig|1121259.3.peg.1022	1022	-	-	-	-	-	2936	-	-	2594	-	-	-
fig|1121259.3.peg.1029	1029	-	-	-	-	-	-	-	-	-	-	-	-
fig|1121259.3.peg.1031	1031	-	-	-	-	-	-	-	-	-	-	-	-
fig|1121259.3.peg.1033	1033	586	1289	1267	1351	1511	2270	1606	1799	1139	1754	1220	916
fig|1121259.3.peg.1062	1062	555	1318	1296	1322	1540	2240	1575	1770	1168	1725	1191	948
fig|1121259.3.peg.1066	1066	1207	1944	1300	2492	1544	1671	1571	1766	1172	1721	1187	952
fig|1121259.3.peg.1067	1067	-	-	-	-	-	-	-	-	-	-	-	-
fig|1121259.3.peg.1069	1069	1205	1942	1302	2495	1546	1673	1569	1764	1174	1718	1185	954
fig|1121259.3.peg.1105	1105	-	-	-	-	-	-	-	-	-	-	-	-
fig|1121259.3.peg.1107	1107	-	-	-	-	-	-	-	-	-	-	-	-
fig|1121259.3.peg.1108	1108	-	-	-	-	-	-	-	1721	-	-	-	-
fig|1121259.3.peg.1109	1109	-	-	-	-	-	-	-	1720	-	-	-	-
fig|1121259.3.peg.1110	1110	-	-	-	-	-	-	-	1719	-	-	-	-
fig|1121259.3.peg.1111	1111	-	-	-	-	-	-	-	1718	-	-	-	-
fig|1121259.3.peg.1112	1112	-	-	-	-	-	1719	-	1717	-	-	-	1000
fig|1121259.3.peg.1114	1114	-	-	-	-	-	-	-	-	-	-	-	-
fig|1121259.3.peg.1159	1159	-	-	-	-	-	-	-	-	-	-	-	-
fig|1121259.3.peg.1160	1160	-	-	-	-	-	-	-	317	-	-	-	-
fig|1121259.3.peg.1169	1169	-	-	-	-	-	-	-	-	-	-	-	-
fig|1121259.3.peg.1175	1175	-	-	-	-	-	-	-	-	-	-	-	-
fig|1121259.3.peg.1177	1177	-	-	-	-	-	-	-	-	-	-	-	-
fig|1121259.3.peg.1178	1178	2484	-	2738	428	2878	2683	2216	492	2521	351	-	2143
fig|1121259.3.peg.1179	1179	-	-	-	-	-	-	2212	-	-	-	-	-
fig|1121259.3.peg.1181	1181	-	-	-	-	-	-	-	-	-	-	-	-
fig|1121259.3.peg.1182	1182	-	-	-	-	-	-	-	-	-	-	-	-
fig|1121259.3.peg.1185	1185	-	-	-	-	-	-	-	-	-	-	-	-
fig|1121259.3.peg.1190	1190	-	-	-	-	-	-	-	-	-	-	-	-
fig|1121259.3.peg.1191	1191	-	-	-	-	-	-	-	-	-	-	-	-
fig|1121259.3.peg.1192	1192	-	-	-	-	-	-	-	-	-	-	-	-
fig|1121259.3.peg.1193	1193	-	-	-	-	-	-	-	-	-	-	-	-
fig|1121259.3.peg.1194	1194	-	-	-	2140	-	-	-	-	-	-	-	-
