Tag	1094508.3	1094508.3	203119.11	203119.11	394503.7	394503.7	31899.1
TAG0002	fig|1094508.3.peg.516	Tsac_0512	fig|203119.11.peg.3304	Cthe_3093	fig|394503.7.peg.2494	Ccel_2419	fig|31899.10.peg.426
TAG0011	fig|1094508.3.peg.1194	Tsac_1180	fig|203119.11.peg.3090	Cthe_2887	fig|394503.7.peg.403	Ccel_0387	fig|31899.10.peg.1967
TAG0019	-	-	fig|203119.11.peg.1138	Cthe_1080	fig|394503.7.peg.2229	Ccel_2169	-
TAG0022	fig|1094508.3.peg.1202	Tsac_1188	fig|203119.11.peg.1137,fig|203119.11.peg.2077	Cthe_1079,Cthe_1961	fig|394503.7.peg.1995,fig|394503.7.peg.364	Ccel_1940,Ccel_0348	fig|31899.10.peg.632
TAG0046	fig|1094508.3.peg.2534	Tsac_2499	-	-	-	-	-
TAG0056	fig|1094508.3.peg.1910	Tsac_1886	fig|203119.11.peg.730	Cthe_0695	fig|394503.7.peg.2509	Ccel_2434	fig|31899.10.peg.1803
TAG0060	fig|1094508.3.peg.1756	Tsac_1733	-	-	-	-	fig|31899.10.peg.1709
TAG0063	fig|1094508.3.peg.1763	Tsac_1739	fig|203119.11.peg.1347	Cthe_1277	fig|394503.7.peg.1936	Ccel_1881	fig|31899.10.peg.1713
TAG0066	fig|1094508.3.peg.1769	Tsac_1745	fig|203119.11.peg.1080	Cthe_1028	fig|394503.7.peg.2195	Ccel_2136	fig|31899.10.peg.1986
TAG0069	fig|1094508.3.peg.1778	Tsac_1754	fig|203119.11.peg.980	Cthe_0933	fig|394503.7.peg.708	Ccel_0685	fig|31899.10.peg.1640
TAG0070	fig|1094508.3.peg.1783	Tsac_1759	fig|203119.11.peg.974	Cthe_0927	fig|394503.7.peg.720	Ccel_0696	fig|31899.10.peg.1654
TAG0071	-	-	-	-	-	-	fig|31899.10.peg.677
TAG0072	fig|1094508.3.peg.1787	Tsac_1763	fig|203119.11.peg.811	Cthe_0769	fig|394503.7.peg.734	Ccel_0710	fig|31899.10.peg.1446
TAG0103	-	-	-	-	fig|394503.7.peg.2681	Ccel_2606	-
TAG0115	fig|1094508.3.peg.1825	Tsac_1801	fig|203119.11.peg.513	Cthe_0486	fig|394503.7.peg.2086	Ccel_2030	fig|31899.10.peg.2707
TAG0119	fig|1094508.3.peg.1832	Tsac_1808	fig|203119.11.peg.522	Cthe_0495	fig|394503.7.peg.2078	Ccel_2022	fig|31899.10.peg.2699
TAG0125	fig|1094508.3.peg.1842	Tsac_1818	fig|203119.11.peg.1050	Cthe_0999	fig|394503.7.peg.467	Ccel_0449	fig|31899.10.peg.2322
TAG0129	fig|1094508.3.peg.1854	Tsac_1829	fig|203119.11.peg.1039	Cthe_0988	fig|394503.7.peg.478	Ccel_0460	fig|31899.10.peg.1535
TAG0139	fig|1094508.3.peg.1870	Tsac_1845	fig|203119.11.peg.1109	Cthe_1052	fig|394503.7.peg.697	Ccel_0674	fig|31899.10.peg.1464
TAG0146	-	-	-	-	fig|394503.7.peg.3411	Ccel_3335	-
TAG0165	-	-	-	-	-	-	fig|31899.10.peg.1702
TAG0195	fig|1094508.3.peg.1705	Tsac_1682	fig|203119.11.peg.194	Cthe_0182	fig|394503.7.peg.1389	Ccel_1348	fig|31899.10.peg.1597
TAG0196	fig|1094508.3.peg.283	-	-	-	-	-	-
TAG0200	-	-	fig|203119.11.peg.951	Cthe_0905	-	-	-
TAG0201	fig|1094508.3.peg.2025	Tsac_1999	fig|203119.11.peg.1408	Cthe_1331	fig|394503.7.peg.2002	Ccel_1946	fig|31899.10.peg.1026
TAG0217	-	-	-	-	-	-	fig|31899.10.peg.592
TAG0219	fig|1094508.3.peg.2044,fig|1094508.3.peg.306	Tsac_2018,Tsac_0304	fig|203119.11.peg.2244	Cthe_2115	-	-	-
TAG0232	fig|1094508.3.peg.493,fig|1094508.3.peg.986	Tsac_0488,Tsac_0975	fig|203119.11.peg.367	Cthe_0344	fig|394503.7.peg.145	Ccel_0138	fig|31899.10.peg.1543
TAG0233	fig|1094508.3.peg.811,fig|1094508.3.peg.975	Tsac_0805,Tsac_0964	fig|203119.11.peg.1974	Cthe_1866	fig|394503.7.peg.1867,fig|394503.7.peg.2998	Ccel_1814,Ccel_2912	fig|31899.10.peg.2349
TAG0238	fig|1094508.3.peg.2224	Tsac_2197	fig|203119.11.peg.1290	Cthe_1222	fig|394503.7.peg.1479	Ccel_1437	fig|31899.10.peg.1693
TAG0267	fig|1094508.3.peg.1896	Tsac_1871	fig|203119.11.peg.825	Cthe_0783	fig|394503.7.peg.1750	Ccel_1699	fig|31899.10.peg.1994
TAG0273	fig|1094508.3.peg.580	Tsac_0574	fig|203119.11.peg.115	Cthe_0107	fig|394503.7.peg.2060	Ccel_2003	fig|31899.10.peg.993
TAG0275	fig|1094508.3.peg.577	Tsac_0571	fig|203119.11.peg.112	Cthe_0104	fig|394503.7.peg.2063	Ccel_2006	fig|31899.10.peg.996
TAG0287	-	-	fig|203119.11.peg.921	Cthe_0876	-	-	-
TAG0293	fig|1094508.3.peg.1752	Tsac_1728	fig|203119.11.peg.599	Cthe_0576	fig|394503.7.peg.1581	Ccel_1537	fig|31899.10.peg.1528
TAG0294	fig|1094508.3.peg.1260	Tsac_1246	fig|203119.11.peg.3257	Cthe_3046	fig|394503.7.peg.2554	Ccel_2477	-
TAG0298	fig|1094508.3.peg.1736	Tsac_1712	fig|203119.11.peg.3312	Cthe_3100	-	-	fig|31899.10.peg.2670
TAG0302	fig|1094508.3.peg.1726	Tsac_1703	fig|203119.11.peg.999	Cthe_0952	fig|394503.7.peg.635	Ccel_0613	fig|31899.10.peg.1866
TAG0332	-	-	fig|203119.11.peg.609	Cthe_0585	fig|394503.7.peg.420,fig|394503.7.peg.875	Ccel_0405,Ccel_0843	-
TAG0353	fig|1094508.3.peg.1759	Tsac_1736	-	-	-	-	fig|31899.10.peg.2687
