fig|31899.10.peg.70|SAMN05216182_0004	WP_015908853.1	100	174	0	0	1	174	1	174	2.93E-127	355	174	174
fig|31899.10.peg.71|SAMN05216182_0005	WP_015908854.1	100	117	0	0	1	117	1	117	5.44E-79	228	117	117
fig|31899.10.peg.72|SAMN05216182_0006	WP_015908855.1	100	64	0	0	1	64	1	64	1.31E-41	129	64	64
fig|31899.10.peg.73|SAMN05216182_0007	WP_015908856.1	100	145	0	0	1	145	1	145	2.48E-100	285	145	145
fig|31899.10.peg.74|SAMN05216182_0008	WP_015908857.1	100	144	0	0	1	144	1	144	5.62E-106	299	144	144
fig|31899.10.peg.75|SAMN05216182_0009	WP_015908858.1	100	373	0	0	1	373	1	373	0	769	373	373
fig|31899.10.peg.76|SAMN05216182_0010	WP_015908859.1	100	337	0	0	1	337	1	337	0	685	337	337
fig|31899.10.peg.77|SAMN05216182_0011	WP_015908860.1	100	449	0	0	1	449	1	449	0	936	449	449
fig|31899.10.peg.78|SAMN05216182_0012	WP_015908861.1	100	243	0	0	1	243	1	243	1.32E-180	496	243	243
fig|31899.10.peg.79|SAMN05216182_0013	WP_015908862.1	100	192	0	0	1	192	1	192	6.03E-134	374	192	192
fig|31899.10.peg.81|SAMN05216182_0015	WP_013433368.1	100	93	0	0	1	93	1	93	1.67E-61	182	93	93
fig|31899.10.peg.82|SAMN05216182_0016	WP_015908864.1	100	86	0	0	1	86	1	86	2.18E-58	174	86	86
fig|31899.10.peg.86|SAMN05216182_0018	WP_015908866.1	100	757	0	0	1	757	1	757	0	1532	757	757
fig|31899.10.peg.87|SAMN05216182_0019	WP_015908867.1	100	502	0	0	1	502	1	502	0	1005	502	502
fig|31899.10.peg.89|SAMN05216182_0021	WP_015908869.1	100	300	0	0	1	300	1	300	0	605	300	300
fig|31899.10.peg.90|SAMN05216182_0022	WP_015908870.1	100	308	0	0	1	308	1	308	0	617	308	308
fig|31899.10.peg.91|SAMN05216182_0023	WP_015908871.1	100	548	0	0	1	548	1	548	0	1112	548	548
fig|31899.10.peg.92|SAMN05216182_0024	WP_015908872.1	100	328	0	0	1	328	1	328	0	686	328	328
fig|31899.10.peg.94|SAMN05216182_0026	WP_015908874.1	100	390	0	0	1	390	1	390	0	799	390	390
fig|31899.10.peg.95|SAMN05216182_0027	WP_015908875.1	100	214	0	0	1	214	1	214	7.68E-162	446	214	214
fig|31899.10.peg.96|SAMN05216182_0028	WP_015908876.1	100	151	0	0	1	151	1	151	2.01E-108	306	151	151
fig|31899.10.peg.97|SAMN05216182_0029	WP_015908877.1	100	315	0	0	1	315	1	315	0	642	315	315
fig|31899.10.peg.104|SAMN05216182_0033	WP_015908879.1	100	138	0	0	1	138	1	138	8.55E-98	278	138	138
fig|31899.10.peg.106|SAMN05216182_0034	WP_015908880.1	100	363	0	0	1	363	1	363	0	719	363	363
fig|31899.10.peg.107|SAMN05216182_0035	WP_015908881.1	100	471	0	0	1	471	1	471	0	929	471	471
